Dates,NEWS_SENTIMENT_DAILY_AVG,TWITTER_SENTIMENT_DAILY_AVG,PX_OPEN,sentiment_label
2021-02-08,0.0014,-0.002,243.15,positive
2021-02-09,0.0021,0.0042,241.87,positive
2021-02-10,0.0042,0.0072,245.0,positive
2021-02-11,-0.0072,0.0051,244.78,negative
2021-02-12,0.0076,0.0026,243.9332,positive
2021-02-15,0.0002,-0.0293,243.9332,neutral
2021-02-16,0.0016,-0.0113,245.03,positive
2021-02-17,-0.0021,0.0039,241.32,negative
2021-02-18,-0.0036,0.0012,241.8,negative
2021-02-19,-0.0372,-0.0036,243.75,negative
2021-02-22,-0.0001,-0.0034,237.42,neutral
2021-02-23,-0.0003,-0.0039,230.325,negative
2021-02-24,-0.0041,-0.0044,230.01,negative
2021-02-25,0.0002,0.0026,232.08,neutral
2021-02-26,-0.0024,-0.0136,231.525,negative
2021-03-01,-0.003,-0.0041,235.9,negative
2021-03-02,0.0012,0.0014,237.01,positive
2021-03-03,0.0,-0.0103,232.155,neutral
2021-03-04,-0.0008,-0.0224,226.735,negative
2021-03-05,-0.0005,-0.0082,229.5165,negative
2021-03-08,-0.0197,-0.0762,231.37,negative
2021-03-09,-0.0084,-0.03,232.88,negative
2021-03-10,-0.0037,-0.0102,237.0,negative
2021-03-11,-0.0307,-0.008,234.96,negative
2021-03-12,-0.0032,-0.01,234.01,negative
2021-03-15,-0.0013,-0.0079,234.96,negative
2021-03-16,-0.0006,-0.006,236.28,negative
2021-03-17,-0.0029,-0.0066,236.15,negative
2021-03-18,-0.0001,-0.0031,232.56,neutral
2021-03-19,-0.0041,0.002,231.02,negative
2021-03-22,0.0001,0.0102,230.27,neutral
2021-03-23,0.0007,0.0105,237.485,neutral
2021-03-24,0.0017,0.0104,237.845,positive
2021-03-25,-0.0002,0.0027,235.3,negative
2021-03-26,0.0,0.0033,231.55,neutral
2021-03-29,-0.002,0.0026,236.59,negative
2021-03-30,-0.0001,-0.0032,233.525,neutral
2021-03-31,-0.0013,0.0032,232.91,negative
2021-04-01,0.0039,0.0815,238.47,positive
2021-04-02,0.0103,0.0199,238.47,positive
2021-04-05,0.0012,0.0131,242.76,positive
2021-04-06,0.0143,0.0308,247.61,positive
2021-04-07,0.0007,0.0038,247.81,neutral
2021-04-08,-0.0005,0.0089,252.77,negative
2021-04-09,-0.0043,0.0117,252.87,negative
2021-04-12,0.0038,0.061,254.71,positive
2021-04-13,0.0115,0.0766,257.2573,positive
2021-04-14,0.0012,0.0215,257.475,positive
2021-04-15,0.0,0.0061,257.931,neutral
2021-04-16,0.0003,0.0066,259.47,neutral
2021-04-19,0.0014,0.0106,260.19,positive
2021-04-20,-0.0001,0.0046,257.82,neutral
2021-04-21,-0.0004,0.0042,258.94,negative
2021-04-22,0.0016,0.0111,260.21,positive
2021-04-23,0.0002,0.0064,257.88,neutral
2021-04-26,0.0014,0.009,261.66,positive
2021-04-27,0.0036,0.0084,261.585,positive
2021-04-28,0.2918,0.1228,256.078,positive
2021-04-29,0.0524,0.0299,255.46,positive
2021-04-30,0.0048,-0.014,249.74,positive
2021-05-03,0.0045,0.0081,253.4,positive
2021-05-04,0.0001,0.0048,250.97,neutral
2021-05-05,-0.0001,0.006,249.06,neutral
2021-05-06,0.0005,0.0054,246.45,neutral
2021-05-07,-0.0002,0.0049,252.15,negative
2021-05-10,0.0,-0.0031,250.87,neutral
2021-05-11,-0.0019,-0.0067,244.55,negative
2021-05-12,0.0004,-0.0016,242.165,neutral
2021-05-13,-0.003,-0.0105,241.8,negative
2021-05-14,0.0051,0.0028,245.575,positive
2021-05-17,-0.006,-0.0177,246.55,negative
2021-05-18,-0.0042,-0.0165,246.27,negative
2021-05-19,-0.0095,-0.0024,239.31,negative
2021-05-20,-0.0019,0.0035,243.96,negative
2021-05-21,-0.0015,0.0027,247.565,negative
2021-05-24,-0.0001,0.0036,247.785,neutral
2021-05-25,0.0011,0.0054,251.769,positive
2021-05-26,0.0002,0.0034,251.43,neutral
2021-05-27,-0.0003,0.0018,251.17,negative
2021-05-28,-0.0001,-0.0217,250.995,neutral
